id,tradition,period_zh,period_en,title_zh,title_script,title_en
evt_036,sinosphere,11世纪,11th c.,高丽初雕大藏经（1011–1087）,初雕大藏經,First Goryeo Canon
evt_037,sinosphere,1589–1681年,1589–1681,天海版·铁眼（黄檗）版一切经,鐵眼版,Tenkai and Tetsugen editions in Japan
evt_038,tibetan,11世纪,11th c.,后弘期译经·仁钦桑波新译,ཕྱི་དར།,Later diffusion; new translations
evt_039,silkroad,11世纪,11th c.,契丹藏（辽藏）,契丹藏,Khitan Canon
evt_040,silkroad,约1006年,c. 1006,敦煌藏经洞封闭·五万卷写本封存,藏經洞,The Dunhuang library cave sealed
evt_041,seasia,11世纪,11th c.,蒲甘·阿奴律陀迎请三藏（1057）,ပုဂံ,Bagan receives the Pāli canon from Thaton
evt_042,chinese,12世纪中叶,mid-12th c.,《赵城金藏》（1149–1173）,趙城金藏,Zhaocheng Jin Canon
evt_043,sanskrit,1203年,1203,梵本散佚·转存尼泊尔与西藏,梵篋西藏·尼泊爾,Sanskrit codices survive in Nepal and Tibet
evt_044,seasia,13–14世纪,13th–14th c.,素可泰·兰纳承袭僧伽罗僧统,สุโขทัย,Sinhalese ordination line reaches Siam and Lanna
evt_045,silkroad,12世纪中叶,mid-12th c.,西夏文大藏经,西夏文大藏經,Tangut canon
evt_046,sinosphere,13–14世纪,13th–14th c.,高丽再雕大藏经·八万大藏经（海印寺，1236–1251）,팔만대장경,"Tripiṭaka Koreana — 81,258 woodblocks"
evt_047,tibetan,13–14世纪,13th–14th c.,藏文写本甘珠尔三系·布顿编订丹珠尔（1334）,ཚལ་པ་གསེར་བྲིས་བཀའ་འགྱུར།,Manuscript Kangyurs; Butön edits the Tengyur
evt_048,chinese,13–14世纪,13th–14th c.,《碛砂藏》《普宁藏》（1216–1322）,磧砂藏,Qisha and Puning canons
evt_049,pali,1881–1893年,1881–1893,巴利圣典协会（PTS）·罗马字校订本,Pali Text Society,Roman-script critical editions
evt_050,pali,1954–1961年,1954–1961,斯里兰卡佛陀成道二千五百年版（Buddha Jayanti）,බුද්ධ ජයන්ති,Buddha Jayanti Tipiṭaka
evt_051,chinese,1372–1477年,1372–1477,《洪武南藏》《永乐北藏》,明藏,Ming imperial canons
evt_052,sinosphere,1924–1934年,1924–1934,《大正新修大藏经》·一百卷,大正新脩大藏經,Taishō Tripiṭaka — the modern scholarly standard
evt_053,tibetan,1372–1477年,1372–1477,永乐版藏文《甘珠尔》（1410）,ཡུང་ལོ་པར་མ།,Yongle xylograph Kangyur
evt_054,seasia,1372–1477年,1372–1477,清迈第八次结集（1477，兰纳）,ล้านนา,Eighth Council at Chiang Mai
evt_055,chinese,1589–1681年,1589–1681,《嘉兴藏》方册本·便携流通,嘉興藏,Jiaxing Canon in bound volumes
evt_056,tibetan,1589–1681年,1589–1681,丽江（理塘）版《甘珠尔》（1608–1621）,འཇང་ས་ཐམ་པར་མ།,Lijiang Kangyur — first printed in Tibet
evt_057,seasia,1788年,1788,曼谷第九次结集（拉玛一世）,พระไตรปิฎก,Ninth Council under Rama I
evt_058,tibetan,1667–1669年,1667–1669,内府泥金写本藏文《龙藏经》·108函,ཁང་ཞིའི་གསེར་བྲིས་བཀའ་འགྱུར།,Kangxi gold-ink manuscript Kangyur
evt_059,tibetan,1683–1744年,1683–1744,北京·那塘·卓尼·德格四大刻本《甘珠尔》《丹珠尔》,སྡེ་དགེ་པར་མ་བཀའ་བསྟན།,The four great xylograph editions; Derge becomes standard
evt_060,chinese,1717–1790年,1717–1790,清《龙藏》（乾隆大藏经）·724函,乾隆大藏經,Qing Dragon Canon
evt_061,sinosphere,1885–1913年,1885–1913,缩刷藏·卍字藏·卍续藏,縮刷藏·卍續藏,Japanese typeset canons and the Zokuzōkyō
evt_062,tibetan,1717–1790年,1717–1790,蒙古文《甘珠尔》《丹珠尔》·满文《清文全藏经》,Ганжуур · ᠮᠠᠨᠵᡠ,Mongolian and Manchu canons
evt_063,tibetan,1970–1997年,1970–1997,中华大藏经藏文部分（对勘本）,དཔེ་བསྡུར་མ།,"Comparative Tibetan edition, Beijing"
evt_064,chinese,1885–1913年,1885–1913,《频伽藏》铅印（1909–1913）,頻伽藏,"Pinjia Canon, movable type"
evt_065,seasia,1871年,1871,缅甸第五次结集·库都陶石经七二九碑,ကုသိုလ်တော်,Fifth Council; Kuthodaw marble canon
evt_066,sanskrit,1931–1939年,1931–1939,吉尔吉特写本出土（1931）·罗睺罗在西藏摄制梵本（1934–1938）,Rāhula Sāṅkṛtyāyana,Gilgit find; Sanskrit codices photographed in Tibet
evt_067,seasia,1881–1893年,1881–1893,泰国朱拉隆功版铅印三藏（1893）,จุลจอมเกล้า,Siamese printed Tipiṭaka — first typeset edition
evt_068,seasia,1954–1961年,1954–1961,第六次结集（仰光，1954–1956）,ဆဋ္ဌသင်္ဂါယနာ,"Sixth Council, Rangoon"
evt_069,seasia,1994年至今,1994–present,SuttaCentral·跨语平行对读,SuttaCentral,Parallel readings across languages
evt_070,seasia,1929–1969年,1929–1969,柬埔寨高棉文巴利三藏·一一〇册,ព្រះត្រៃបិដក,Khmer-script Tipiṭaka
evt_071,chinese,1970–1997年,1970–1997,《中华大藏经》汉文部分·一〇六册,中華大藏經,Zhonghua Canon — critical Chinese edition
evt_072,sinosphere,1954–1961年,1954–1961,越南文《大藏经》翻译计划,Đại Tạng Kinh,Vietnamese translation of the canon
evt_073,chinese,1994年至今,1994–present,CBETA 中华电子佛典,電子佛典,CBETA digital canon
evt_074,sinosphere,1994年至今,1994–present,SAT 大正藏文本数据库·高丽藏知识库,SAT,Taishō and Koreana databases
evt_075,sanskrit,1970–1997年,1970–1997,巴米扬·斯柯延收藏写本群,Schøyen Collection,Bamiyan birch-bark and palm-leaf finds
evt_076,seasia,1970–1997年,1970–1997,老挝贝叶写本普查与保护,ໃບລານ,Lao palm-leaf manuscript survey
evt_077,pali,1994年至今,1994–present,CSCD 第六结集电子版（VRI）,Chaṭṭha Saṅgāyana,Digital Sixth-Council text
evt_078,sanskrit,1994年至今,1994–present,GRETIL·DSBC·梵文写本数字回归,Digital Sanskrit,Sanskrit corpora go online
evt_079,tibetan,1994年至今,1994–present,ADARSHAH·84000·BDRC,ཨ་དརྴ།,"Adarshah, 84000, BDRC"
evt_080,india,当代,contemporary,全球佛典数字网络·跨语种对勘,बुद्धवचन ත්‍රිපිටකය 大藏經 བཀའ་བསྟན།,"A global, cross-lingual digital canon"
evt_081,sanskrit,1824–1845年,1824–1845,霍奇森搜集尼泊尔梵本·分送伦敦巴黎加尔各答,Brian H. Hodgson,Nepalese codices reach European libraries
evt_082,sanskrit,645–664年,645–664,玄奘携归梵本六五七部,梵篋,657 Sanskrit manuscripts carried to Chang'an
